wl;n;k
0.536729;1.58053;3.71354
0.53738;1.58213;3.71758
0.538033;1.58375;3.72163
0.538688;1.58536;3.72568
0.539344;1.58698;3.72974
0.540002;1.58861;3.7338
0.540661;1.59024;3.73787
0.541322;1.59187;3.74195
0.541985;1.59351;3.74604
0.542649;1.59516;3.75013
0.543315;1.59681;3.75423
0.543982;1.59846;3.75834
0.544652;1.60012;3.76245
0.545322;1.60179;3.76657
0.545995;1.60346;3.7707
0.546669;1.60514;3.77483
0.547345;1.60682;3.77897
0.548022;1.6085;3.78312
0.548701;1.6102;3.78727
0.549382;1.61189;3.79143
0.550065;1.61359;3.7956
0.550749;1.6153;3.79977
0.551435;1.61701;3.80395
0.552122;1.61873;3.80814
0.552812;1.62046;3.81233
0.553503;1.62218;3.81654
0.554195;1.62392;3.82074
0.55489;1.62566;3.82496
0.555586;1.6274;3.82918
0.556284;1.62915;3.83341
0.556984;1.63091;3.83765
0.557685;1.63267;3.84189
0.558389;1.63443;3.84614
0.559094;1.63621;3.8504
0.559801;1.63798;3.85466
0.560509;1.63977;3.85893
0.56122;1.64155;3.86321
0.561932;1.64335;3.86749
0.562646;1.64515;3.87178
0.563362;1.64695;3.87608
0.56408;1.64876;3.88038
0.564799;1.65058;3.8847
0.56552;1.6524;3.88901
0.566244;1.65423;3.89334
0.566969;1.65606;3.89767
0.567696;1.6579;3.90201
0.568424;1.65974;3.90636
0.569155;1.66159;3.91071
0.569888;1.66345;3.91507
0.570622;1.66531;3.91944
0.571358;1.66717;3.92381
0.572097;1.66904;3.92819
0.572837;1.67092;3.93258
0.573579;1.67281;3.93697
0.574323;1.6747;3.94138
0.575069;1.67659;3.94578
0.575817;1.67849;3.9502
0.576566;1.6804;3.95462
0.577318;1.68231;3.95905
0.578072;1.68423;3.96349
0.578827;1.68615;3.96793
0.579585;1.68808;3.97238
0.580345;1.69002;3.97684
0.581106;1.69196;3.9813
0.58187;1.69391;3.98577
0.582636;1.69586;3.99025
0.583403;1.69782;3.99473
0.584173;1.69978;3.99923
0.584945;1.70175;4.00372
0.585719;1.70373;4.00823
0.586494;1.70571;4.01274
0.587272;1.7077;4.01726
0.588052;1.7097;4.02179
0.588834;1.7117;4.02632
0.589618;1.7137;4.03086
0.590405;1.71571;4.03541
0.591193;1.71773;4.03996
0.591983;1.71976;4.04452
0.592776;1.72179;4.04909
0.59357;1.72382;4.05367
0.594367;1.72586;4.05825
0.595166;1.72791;4.06283
0.595967;1.72996;4.06743
0.59677;1.73202;4.07203
0.597576;1.73409;4.07664
0.598383;1.73616;4.08126
0.599193;1.73824;4.08588
0.600005;1.74032;4.09051
0.600819;1.74241;4.09515
0.601636;1.74451;4.09979
0.602454;1.74661;4.10444
0.603275;1.74872;4.1091
0.604098;1.75083;4.11376
0.604923;1.75295;4.11843
0.605751;1.75508;4.12311
0.606581;1.75721;4.1278
0.607413;1.75934;4.13249
0.608247;1.76149;4.13719
0.609084;1.76364;4.14189
0.609923;1.76579;4.1466
0.610764;1.76795;4.15132
0.611608;1.77012;4.15605
0.612454;1.77229;4.16078
0.613302;1.77447;4.16552
0.614153;1.77666;4.17027
0.615006;1.77885;4.17502
0.615861;1.78105;4.17978
0.616719;1.78325;4.18455
0.617579;1.78546;4.18932
0.618442;1.78767;4.1941
0.619307;1.7899;4.19889
0.620174;1.79212;4.20368
0.621044;1.79436;4.20848
0.621917;1.79659;4.21329
0.622791;1.79884;4.21811
